guild_id,user_id,channel_id,joined_at,left_at,duration_seconds
1399126688943570974,587882383370616835,1427743564174987315,2025-12-20T18:57:05.481786+00:00,2025-12-20T19:09:23.629418+00:00,738
1399126688943570974,1216672154498629645,1427743564174987315,2025-12-20T18:36:49.080094+00:00,2025-12-20T19:19:13.146201+00:00,2544
1399126688943570974,1076948330761953311,1427743564174987315,2025-12-20T16:17:25.949116+00:00,2025-12-20T19:20:50.042210+00:00,11004
1399126688943570974,1216672154498629645,1427743564174987315,2025-12-20T19:19:23.737353+00:00,2025-12-20T19:21:02.909522+00:00,99
1399126688943570974,677708115944276002,1427743564174987315,2025-12-20T18:57:11.705612+00:00,2025-12-20T19:21:03.443375+00:00,1431
1399126688943570974,461240029340237824,1399493915131904123,2025-12-20T23:11:28.017940+00:00,2025-12-20T23:21:41.050218+00:00,613
1399126688943570974,499625557831581710,1427743564174987315,2025-12-21T16:50:59.228952+00:00,2025-12-21T17:31:19.060597+00:00,2419
1399126688943570974,623904576671711273,1399493915131904123,2025-12-21T20:35:04.648165+00:00,2025-12-21T21:12:06.665649+00:00,2222
1399126688943570974,175482097803329546,1399493915131904123,2025-12-21T20:42:39.336519+00:00,2025-12-21T21:20:34.213633+00:00,2274
1399126688943570974,1331927419665514496,1399493915131904123,2025-12-21T20:43:10.873359+00:00,2025-12-21T21:25:03.629387+00:00,2512
1399126688943570974,461240029340237824,1399493915131904123,2025-12-21T20:33:25.135680+00:00,2025-12-21T21:29:06.086535+00:00,3340
1399126688943570974,623904576671711273,1399493915131904123,2025-12-21T21:24:33.056464+00:00,2025-12-21T21:34:32.281806+00:00,599
1399126688943570974,461240029340237824,1399493915131904123,2025-12-22T07:01:16.326988+00:00,2025-12-22T07:42:08.699032+00:00,2452
1399126688943570974,461240029340237824,1399493915131904123,2025-12-22T09:16:55.661456+00:00,2025-12-22T10:21:25.393144+00:00,3869
1399126688943570974,461240029340237824,1399493915131904123,2025-12-22T10:40:44.079284+00:00,2025-12-22T10:40:51.765323+00:00,7
1399126688943570974,461240029340237824,1399493915131904123,2025-12-22T10:42:17.820281+00:00,2025-12-22T10:42:23.966744+00:00,6
1399126688943570974,956117043889995816,1399493915131904123,2025-12-22T12:55:35.996046+00:00,2025-12-22T13:09:56.622536+00:00,860
1399126688943570974,175482097803329546,1399493915131904123,2025-12-22T12:53:32.318743+00:00,2025-12-22T13:27:51.944098+00:00,2059
1399126688943570974,1316778370494759003,1399493915131904123,2025-12-22T13:07:51.865608+00:00,2025-12-22T14:03:23.560007+00:00,3331
1399126688943570974,175482097803329546,1399493915131904123,2025-12-22T13:57:53.866156+00:00,2025-12-22T14:04:16.984160+00:00,383
1399126688943570974,461240029340237824,1399493915131904123,2025-12-22T12:32:36.737016+00:00,2025-12-22T14:07:17.771678+00:00,5681
1399126688943570974,962835349250375710,1427732690664161332,2025-12-22T15:21:29.018602+00:00,2025-12-22T15:23:03.749078+00:00,94
1399126688943570974,962835349250375710,1399493915131904123,2025-12-22T15:53:31.145589+00:00,2025-12-22T15:54:40.372669+00:00,69
